Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
603882,Guangzhou Kingmed Diagnostics Group Co. Ltd. Class A,"0,0022%",Medical Services,CN,"62.559,59 USD",13.500
300832,Shenzhen New Industries Biomedical Engineering Co. Ltd. Class A,"0,0022%",Medical Supplies,CN,"62.510,06 USD",6.000
002065,DHC Software Co. Ltd. Class A,"0,0022%",Computer Services,CN,"62.453,10 USD",90.600
002368,Taiji Computer Corp. Ltd. Class A,"0,0022%",Computer Services,CN,"62.214,47 USD",21.179
1375,Central China Securities Co. Ltd. Class H,"0,0022%",Investment Services,CN,"62.139,62 USD",446.000
600499,Keda Industrial Group Co. Ltd. Class A,"0,0022%",Machinery: Industrial,CN,"62.070,05 USD",46.700
600562,Glarun Technology Co. Ltd. Class A,"0,0022%",Defense,CN,"61.867,79 USD",31.800
002531,Titan Wind Energy Suzhou Co. Ltd. Class A,"0,0022%",Renewable Energy Equipment,CN,"61.659,75 USD",42.000
600864,Harbin Hatou Investment Co. Ltd. Class A,"0,0022%",Conventional Electricity,CN,"61.610,22 USD",87.800
603826,Fujian Kuncai Material Technology Co. Ltd.,"0,0022%",Specialty Chemicals,CN,"61.578,85 USD",11.200
600909,Huaan Securities Co. Ltd. Class A,"0,0022%",Investment Services,CN,"61.519,41 USD",97.200
600483,Fujian Funeng Co. Ltd. Class A,"0,0022%",Conventional Electricity,CN,"61.358,70 USD",41.600
601456,Guolian Securities Co. Ltd. Class A,"0,0022%",Investment Services,CN,"61.189,19 USD",40.800
600637,Oriental Pearl Group Co. Ltd. Class A,"0,0022%",Media Agencies,CN,"60.919,24 USD",67.700
600867,Tonghua Dongbao Pharmaceutical Co. Ltd. Class A,"0,0022%",Biotechnology,CN,"60.880,44 USD",48.200
002385,Beijing Dabeinong Technology Group Co. Ltd. Class A,"0,0021%","Farming, Fishing, Ranching and Plantatio",CN,"60.590,68 USD",94.500
603290,StarPower Semiconductor Ltd. Class A,"0,0021%",Semiconductors,CN,"60.587,21 USD",5.040
CWENE.E,CW Enerji Muhendislik Ticaret VE Sanayi AS,"0,0021%",Renewable Energy Equipment,TR,"60.496,08 USD",8.253
605358,Hangzhou Lion Microelectronics Co. Ltd. Class A,"0,0021%",Semiconductors,CN,"60.482,35 USD",20.628
ECZYT.E,Eczacibasi Yatirim Holding Ortakligi AS,"0,0021%",Diversified Financial Services,TR,"60.390,98 USD",8.197
GENIL.E,GEN Ilac VE Saglik Urunleri Sanayi VE Ticaret AS,"0,0021%",Pharmaceuticals,TR,"60.381,97 USD",32.173
002176,Jiangxi Special Electric Motor Co. Ltd. Class A,"0,0021%",Machinery: Industrial,CN,"60.075,26 USD",46.400
603077,Sichuan Hebang Biotechnology Co. Ltd. Class A,"0,0021%",Fertilizers,CN,"60.038,25 USD",221.500
