Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
D,Dominion Energy Inc.,"0,0947%",Conventional Electricity,US,"3.354.686,72 USD",62.216
KMB,Kimberly-Clark Corp.,"0,0944%",Personal Products,US,"3.343.830,50 USD",25.085
FIS,Fidelity National Information Services Inc.,"0,0943%",Transaction Processing Services,US,"3.339.630,56 USD",44.012
DHI,DR Horton Inc.,"0,0942%",Home Construction,US,"3.337.028,40 USD",22.578
CCI,Crown Castle Inc.,"0,0934%",Infrastructure REITs,US,"3.308.495,00 USD",32.278
O,Realty Income Corp.,"0,0926%",Retail REITs,US,"3.281.548,76 USD",61.846
HUM,Humana Inc.,"0,0925%",Health Care Management Services,US,"3.276.439,88 USD",9.149
ALL,Allstate Corp.,"0,0924%",Property and Casualty Insurance,US,"3.275.518,56 USD",19.553
AMP,Ameriprise Financial Inc.,"0,0918%",Asset Managers and Custodians,US,"3.250.998,06 USD",7.446
PRU,Prudential Financial Inc.,"0,0916%",Life Insurance,US,"3.246.922,65 USD",26.979
ADSK,Autodesk Inc.,"0,0916%",Software,US,"3.245.760,00 USD",16.100
ATD,Alimentation Couche-Tard Inc.,"0,091%",Specialty Retailers,CA,"3.223.083,67 USD",55.230
HES,Hess Corp.,"0,0906%",Offshore Drilling and Other Services,US,"3.209.903,00 USD",20.830
OXY,Occidental Petroleum Corp.,"0,0904%",Oil: Crude Producers,US,"3.202.062,50 USD",51.233
SNOW,Snowflake Inc. Class A,"0,0903%",Computer Services,US,"3.198.732,02 USD",23.489
PSA,Public Storage,"0,0901%",Storage REITs,US,"3.192.036,31 USD",11.657
LHX,L3Harris Technologies Inc.,"0,0895%",Defense,US,"3.171.227,15 USD",14.105
WDAY,Workday Inc. Class A,"0,0894%",Software,US,"3.169.001,15 USD",14.987
WCN,Waste Connections Inc.,"0,0889%",Waste and Disposal Services,CA,"3.149.061,94 USD",19.179
SPOT,Spotify Technology SA,"0,0879%",Radio and TV Broadcasters,LU,"3.114.409,32 USD",10.494
NUE,Nucor Corp.,"0,0877%",Iron and Steel,US,"3.108.866,20 USD",18.412
PLTR,Palantir Technologies Inc. Class A,"0,0876%",Software,US,"3.104.771,12 USD",143.209
OTIS,Otis Worldwide Corp.,"0,0866%",Machinery: Industrial,US,"3.067.462,40 USD",30.922
IDXX,IDEXX Laboratories Inc.,"0,0862%",Medical Equipment,US,"3.055.745,55 USD",6.149
TTD,Trade Desk Inc. Class A,"0,0861%",Media Agencies,US,"3.049.214,70 USD",32.865
DOW,Dow Inc.,"0,0858%",Chemicals: Diversified,US,"3.040.616,43 USD",52.761
GWW,WW Grainger Inc.,"0,0855%",Industrial Suppliers,US,"3.028.839,02 USD",3.287
STZ,Constellation Brands Inc. Class A,"0,0846%",Brewers,US,"2.998.506,09 USD",11.983
IQV,IQVIA Holdings Inc.,"0,0837%",Health Care Services,US,"2.965.602,24 USD",13.536
TRP,TC Energy Corp.,"0,0836%",Pipelines,CA,"2.961.736,62 USD",76.813
PWR,Quanta Services Inc.,"0,0836%",Engineering and Contracting Services,US,"2.960.284,32 USD",10.728
CTVA,Corteva Inc.,"0,0832%","Farming, Fishing, Ranching and Plantatio",US,"2.946.415,74 USD",52.671
GIS,General Mills Inc.,"0,0826%",Food Products,US,"2.925.587,50 USD",42.554
AME,AMETEK Inc.,"0,0822%",Electronic Equipment: Gauges and Meters,US,"2.912.536,50 USD",17.175
PAYX,Paychex Inc.,"0,0817%",Professional Business Support Services,US,"2.893.933,44 USD",24.084
LEN,Lennar Corp. Class A,"0,0813%",Home Construction,US,"2.879.886,00 USD",17.960
MNST,Monster Beverage Corp.,"0,0813%",Soft Drinks,US,"2.879.638,96 USD",55.463
COIN,Coinbase Global Inc. Class A,"0,0813%",Investment Services,US,"2.879.124,48 USD",12.744
YUM,Yum! Brands Inc.,"0,081%",Restaurants and Bars,US,"2.869.400,97 USD",20.879
CMI,Cummins Inc.,"0,0808%",Machinery: Engines,US,"2.863.503,72 USD",10.164
CNC,Centene Corp.,"0,0807%",Health Care Management Services,US,"2.858.731,88 USD",39.932
COR,Cencora Inc.,"0,0806%",Drug Retailers,US,"2.855.914,85 USD",12.605
A,Agilent Technologies Inc.,"0,0806%",Medical Equipment,US,"2.854.283,67 USD",21.887
FTNT,Fortinet Inc.,"0,0804%",Software,US,"2.849.495,52 USD",48.036
RSG,Republic Services Inc. Class A,"0,0804%",Waste and Disposal Services,US,"2.847.666,63 USD",15.377
MSCI,MSCI Inc. Class A,"0,0803%",Financial Data Providers,US,"2.845.799,46 USD",5.747
KMI,Kinder Morgan Inc.,"0,0803%",Pipelines,US,"2.843.610,49 USD",145.901
IR,Ingersoll Rand Inc.,"0,0798%",Machinery: Industrial,US,"2.825.649,35 USD",30.367
PCG,PG&E Corp.,"0,0796%",Conventional Electricity,US,"2.821.880,70 USD",152.205
LNG,Cheniere Energy Inc.,"0,0796%",Pipelines,US,"2.820.969,62 USD",17.878
FAST,Fastenal Co.,"0,0792%",Metal Fabricating,US,"2.807.185,08 USD",42.546
PEG,Public Service Enterprise Group Inc.,"0,0791%",Conventional Electricity,US,"2.801.529,04 USD",36.979
EXC,Exelon Corp.,"0,0789%",Conventional Electricity,US,"2.794.057,95 USD",74.409
ACGL,Arch Capital Group Ltd.,"0,0776%",Full Line Insurance,BM,"2.751.099,78 USD",26.806
VRSK,Verisk Analytics Inc. Class A,"0,0763%",Professional Business Support Services,US,"2.702.976,54 USD",10.693
SYY,Sysco Corp.,"0,0762%",Food Retailers and Wholesalers,US,"2.701.403,54 USD",37.097
EA,Electronic Arts Inc.,"0,0759%",Electronic Entertainment,US,"2.688.826,80 USD",20.235
FANG,Diamondback Energy Inc.,"0,0752%",Oil: Crude Producers,US,"2.663.906,94 USD",13.369
DD,DuPont de Nemours Inc.,"0,0746%",Diversified Industrials,US,"2.643.498,00 USD",32.175
MLM,Martin Marietta Materials Inc.,"0,0745%",Building Materials: Other,US,"2.640.149,20 USD",4.615
SQ,Block Inc.,"0,0744%",Transaction Processing Services,US,"2.636.699,76 USD",41.147
VST,Vistra Corp.,"0,0737%",Conventional Electricity,US,"2.612.937,76 USD",26.372
ODFL,Old Dominion Freight Line Inc.,"0,0732%",Trucking,US,"2.594.225,75 USD",14.803
LULU,Lululemon Athletica Inc.,"0,073%",Clothing and Accessories,US,"2.587.645,06 USD",8.294
RCL,Royal Caribbean Cruises Ltd.,"0,0727%",Travel and Tourism,LR,"2.575.686,88 USD",17.441
KR,Kroger Co.,"0,0721%",Food Retailers and Wholesalers,US,"2.553.875,42 USD",48.766
DASH,DoorDash Inc. Class A,"0,0718%",Consumer Digital Services,US,"2.544.311,77 USD",23.107
VMC,Vulcan Materials Co.,"0,0716%",Building Materials: Other,US,"2.536.982,63 USD",9.919
MPWR,Monolithic Power Systems Inc.,"0,0712%",Semiconductors,US,"2.523.946,53 USD",3.431
BKR,Baker Hughes Co. Class A,"0,0706%",Oil Equipment and Services,US,"2.502.563,04 USD",74.748
ADM,Archer-Daniels-Midland Co.,"0,0703%",Fruit and Grain Processing,US,"2.491.356,00 USD",39.900
