Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
FPH,Fisher & Paykel Healthcare Corp. Ltd.,"0,3514%",Medical Equipment,NZ,"5.131.384,08 USD",283.114
WTC,WiseTech Global Ltd.,"0,3512%",Software,AU,"5.128.315,05 USD",79.768
012330,Hyundai Mobis Co. Ltd.,"0,3512%",Auto Parts,KR,"5.128.138,75 USD",33.101
11,Hang Seng Bank Ltd.,"0,3411%",Banks,HK,"4.980.689,86 USD",358.800
IAG,Insurance Australia Group Ltd.,"0,3359%",Property and Casualty Insurance,AU,"4.904.095,61 USD",1.189.359
373220,LG Energy Solution Ltd.,"0,3227%",Electrical Components,KR,"4.712.007,51 USD",19.710
035720,Kakao Corp.,"0,3209%",Consumer Digital Services,KR,"4.685.550,68 USD",149.824
TLS,Telstra Group Ltd.,"0,3161%",Telecommunications Services,AU,"4.615.679,85 USD",2.000.101
207940,Samsung Biologics Co. Ltd.,"0,3159%",Biotechnology,KR,"4.613.412,30 USD",8.750
3,Hong Kong & China Gas Co. Ltd.,"0,2862%",Gas Distribution,HK,"4.178.671,69 USD",5.385.702
CAR,CAR Group Ltd.,"0,2835%",Consumer Digital Services,AU,"4.139.729,88 USD",178.409
000810,Samsung Fire & Marine Insurance Co. Ltd.,"0,2792%",Property and Casualty Insurance,KR,"4.077.390,85 USD",16.199
MIN,Mineral Resources Ltd.,"0,2761%",General Mining,AU,"4.032.108,80 USD",84.606
028260,Samsung C&T Corp.,"0,276%",Construction,KR,"4.030.410,96 USD",41.305
066570,LG Electronics Inc.,"0,2753%",Household Appliance,KR,"4.019.421,18 USD",53.102
ASX,ASX Ltd.,"0,2724%",Investment Services,AU,"3.977.032,62 USD",95.911
SHL,Sonic Healthcare Ltd.,"0,2624%",Medical Services,AU,"3.832.212,68 USD",236.839
1113,CK Asset Holdings Ltd.,"0,2563%",Real Estate Holding and Development,KY,"3.742.214,01 USD",949.000
6,Power Assets Holdings Ltd.,"0,2549%",Conventional Electricity,HK,"3.722.094,75 USD",672.500
C38U,CapitaLand Integrated Commercial Trust,"0,2497%",Retail REITs,SG,"3.646.310,51 USD",2.514.652
J36,Jardine Matheson Holdings Ltd.,"0,2485%",Diversified Industrials,BM,"3.628.480,00 USD",98.600
PLS,Pilbara Minerals Ltd.,"0,2457%",General Mining,AU,"3.588.297,82 USD",1.423.623
TLC,Lottery Corp. Ltd.,"0,2436%",Casinos and Gambling,AU,"3.556.418,56 USD",1.098.069
SGP,Stockland,"0,2422%",Residential REITs,AU,"3.536.110,91 USD",1.181.569
NXT,NEXTDC Ltd.,"0,2392%",Computer Services,AU,"3.492.179,46 USD",295.166
APA,APA Group,"0,2386%",Pipelines,AU,"3.484.218,85 USD",635.805
A17U,CapitaLand Ascendas REIT,"0,2341%",Diversified REITs,SG,"3.417.754,16 USD",1.770.030
BN4,Keppel Ltd.,"0,2335%",Multi-Utilities,SG,"3.409.963,75 USD",685.900
C6L,Singapore Airlines Ltd.,"0,2333%",Airlines,SG,"3.406.085,82 USD",680.060
MPL,Medibank Pvt Ltd.,"0,2314%",Life Insurance,AU,"3.378.883,32 USD",1.365.765
316140,Woori Financial Group Inc.,"0,2274%",Banks,KR,"3.320.511,35 USD",324.447
086520,Ecopro Co. Ltd.,"0,2212%",Chemicals: Diversified,KR,"3.229.529,31 USD",47.367
034020,Doosan Enerbility Co. Ltd.,"0,2154%",Machinery: Industrial,KR,"3.145.516,45 USD",209.381
247540,Ecopro BM Co. Ltd.,"0,2138%",Electrical Components,KR,"3.122.312,23 USD",22.598
AIA,Auckland International Airport Ltd.,"0,2127%",Transportation Services,NZ,"3.105.557,22 USD",648.028
REA,REA Group Ltd.,"0,2122%",Real Estate Services,AU,"3.098.699,26 USD",24.955
BSL,BlueScope Steel Ltd.,"0,2117%",Iron and Steel,AU,"3.091.369,46 USD",219.883
009150,Samsung Electro-Mechanics Co. Ltd.,"0,2105%",Electronic Components,KR,"3.073.803,76 USD",27.457
TWE,Treasury Wine Estates Ltd.,"0,2073%",Distillers and Vintners,AU,"3.026.620,06 USD",401.674
033780,KT&G Corp.,"0,2041%",Tobacco,KR,"2.980.139,76 USD",49.415
ORI,Orica Ltd.,"0,1969%",General Mining,AU,"2.875.040,05 USD",235.974
S68,Singapore Exchange Ltd.,"0,1956%",Investment Services,SG,"2.856.613,15 USD",403.900
1928,Sands China Ltd.,"0,1941%",Casinos and Gambling,KY,"2.834.354,08 USD",1.189.600
ALD,Ampol Ltd.,"0,1863%",Oil Refining and Marketing,AU,"2.720.826,99 USD",117.833
RHC,Ramsay Health Care Ltd.,"0,186%",Health Care Facilities,AU,"2.716.417,35 USD",86.702
IFT,Infratil Ltd.,"0,1834%",Alternative Electricity,NZ,"2.678.498,76 USD",411.277
GPT,GPT Group,"0,1811%",Diversified REITs,AU,"2.644.528,43 USD",949.030
402340,SK Square Co. Ltd.,"0,1804%",Asset Managers and Custodians,KR,"2.634.661,66 USD",47.008
288,WH Group Ltd.,"0,18%",Food Products,KY,"2.628.056,27 USD",3.864.700
ALU,Altium Ltd.,"0,1782%",Software,AU,"2.602.786,77 USD",58.413
SEK,SEEK Ltd.,"0,1774%",Business Training and Employment Agencie,AU,"2.590.325,22 USD",173.571
003550,LG Corp.,"0,1763%",Diversified Industrials,KR,"2.574.729,98 USD",43.848
259960,Krafton Inc.,"0,1761%",Electronic Entertainment,KR,"2.571.051,97 USD",14.239
MEL,Meridian Energy Ltd.,"0,1749%",Alternative Electricity,NZ,"2.554.152,62 USD",614.963
042700,Hanmi Semiconductor Co. Ltd.,"0,1746%",Production Technology Equipment,KR,"2.549.033,40 USD",21.826
MGR,Mirvac Group,"0,1744%",Diversified REITs,AU,"2.546.400,16 USD",1.953.513
003670,POSCO Future M Co. Ltd.,"0,1738%",Iron and Steel,KR,"2.538.018,85 USD",14.028
012450,Hanwha Aerospace Co. Ltd.,"0,1726%",Aerospace,KR,"2.520.912,93 USD",17.026
SOL,Washington H Soul Pattinson & Co. Ltd.,"0,1706%",Coal,AU,"2.490.947,10 USD",120.667
9CI,CapitaLand Investment Ltd./Singapore,"0,1676%",Real Estate Holding and Development,SG,"2.447.467,63 USD",1.243.700
138040,Meritz Financial Group Inc.,"0,166%",Investment Services,KR,"2.424.053,74 USD",43.644
VCX,Vicinity Ltd.,"0,1657%",Retail REITs,AU,"2.419.709,82 USD",1.865.840
DXS,Dexus,"0,1647%",Office REITs,AU,"2.404.341,22 USD",533.227
66,MTR Corp. Ltd.,"0,1645%",Railroads,HK,"2.401.592,67 USD",709.000
EVN,Evolution Mining Ltd.,"0,1635%",Gold Mining,AU,"2.387.653,66 USD",915.864
SVW,Seven Group Holdings Ltd.,"0,1626%",Machinery: Construction and Handling,AU,"2.374.054,61 USD",91.088
EDV,Endeavour Group Ltd./Australia,"0,1626%",Food Retailers and Wholesalers,AU,"2.374.046,74 USD",719.703
F34,Wilmar International Ltd.,"0,1616%",Fruit and Grain Processing,SG,"2.359.548,87 USD",1.032.169
S63,Singapore Technologies Engineering Ltd.,"0,1599%",Aerospace,SG,"2.335.382,11 USD",755.200
028300,HLB Inc.,"0,1598%",Medical Supplies,KR,"2.332.853,56 USD",52.777
SPK,Spark New Zealand Ltd.,"0,1585%",Telecommunications Services,NZ,"2.314.122,76 USD",902.150
WOR,Worley Ltd.,"0,1582%",Engineering and Contracting Services,AU,"2.310.236,41 USD",237.118
